Categoria,Nome Elemento,ID Elemento,Stato
Livelli,AR_LIV_PE_P00_+0.00m,311,1
Livelli,AR_LIV_PE_P01_+5.20m,638329,1
Livelli,AR_LIV_PE_P02_+10.40m,638415,1
Livelli,AR_LIV_PE_PC2_+15.73m,661743,1
Livelli,AR_LIV_PE_PC1_+12.83m,670266,1
Livelli,ST_LIV_PE_P01_+5.08m,1537725,1
Livelli,ST_LIV_PE_P00_-0.48m,1537726,1
Livelli,ST_LIV_PE_P02_+10.28m,1537727,1
Livelli,ST_LIV_PE_PC2_+15.48m,1537728,1
Livelli,ST_LIV_PE_PC1_+12.50m,1537729,1
Livelli,ST_LIV_PE_PC3_+19.85m,1537730,1
Livelli,ST_LIV_PE_PC2_+16.25m,1537731,1
Livelli,AR_LIV_PE_PC3_+20.17m,1537773,1
